insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 342, 69980);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 40, 124366);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 493, 134255);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 407, 100689);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 227, 93687);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 417, 45696);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 327, 80242);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 136, 56794);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 41, 67578);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 472, 54793);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 45, 130998);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 242, 20434);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 468, 148897);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 367, 33433);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 457, 122445);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 419, 143786);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 112, 126759);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 28, 13931);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 98, 131201);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 81, 8286);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 99, 107434);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 460, 81049);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 101, 123999);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 182, 15739);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 373, 44359);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 252, 92895);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 487, 15755);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 315, 123227);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 176, 24909);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 384, 123135);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 311, 81060);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 467, 126972);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 174, 50815);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 363, 1784);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 152, 133520);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 274, 16077);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 255, 55414);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 285, 122893);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 14, 125097);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 211, 89933);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 94, 21364);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 433, 141539);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 212, 35025);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 229, 33905);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 142, 107274);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 212, 15313);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 188, 74408);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 281, 38104);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 403, 59243);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 102, 1237);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 28, 22669);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 435, 120082);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 195, 33966);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 136, 11761);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 378, 4909);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 119, 50843);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 425, 122289);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 292, 55729);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 51, 118504);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 435, 136321);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 339, 71364);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 242, 20594);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 272, 6703);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 14, 149860);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 28, 71596);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 264, 109786);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 480, 148944);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 342, 127987);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 197, 62848);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 299, 130211);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 437, 114713);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 384, 134581);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 471, 9863);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 296, 60986);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 439, 81633);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 272, 55528);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 129, 9336);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 108, 62644);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 50, 105844);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 259, 17695);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 45, 112165);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 450, 95924);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 248, 22930);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 229, 65624);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 135, 15152);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 137, 2706);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 264, 99937);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 294, 4784);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 55, 148086);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 408, 129667);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 124, 95248);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 206, 6742);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 358, 134427);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 101, 103174);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 279, 147551);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 194, 80651);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 57, 94636);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 16, 69933);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 5, 126294);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 59, 1710);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 435, 146713);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 84, 123159);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 199, 78365);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 125, 67612);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 175, 60244);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 410, 104064);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 424, 71488);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 325, 57004);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 50, 119551);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 138, 2523);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 410, 75820);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 307, 59177);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 483, 25520);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 191, 80140);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 246, 84753);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 214, 89678);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 139, 124101);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 409, 84656);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 52, 99860);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 331, 59081);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 361, 41216);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 293, 10770);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 225, 66426);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 435, 132730);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 181, 50564);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 438, 3042);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 142, 20999);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 12, 128924);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 208, 98833);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 225, 105093);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 489, 128729);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 446, 72034);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 45, 53444);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 35, 109379);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 97, 22817);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 446, 36630);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 437, 43692);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 310, 130748);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 1, 115075);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 378, 4688);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 20, 49399);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 358, 130481);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 172, 5223);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 491, 62377);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 339, 86749);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 488, 103830);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 336, 104569);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 305, 38668);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 7, 123876);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 71, 108786);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 307, 69092);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 487, 83964);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 45, 12305);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 277, 59845);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 309, 128619);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 358, 144982);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 21, 29939);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 495, 56);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 196, 45289);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 52, 73647);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 470, 22245);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 367, 45420);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 458, 28814);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 3, 39827);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 390, 106793);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 109, 127513);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 412, 55375);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 132, 56408);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 417, 131792);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 217, 108562);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 330, 25908);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 2, 98870);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 49, 116587);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 190, 78509);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 324, 82060);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 97, 6741);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 473, 135586);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 228, 18706);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 253, 45415);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 494, 115382);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 294, 109120);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 380, 94170);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 377, 36184);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 59, 6636);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 496, 128872);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 374, 111309);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 200, 1665);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 372, 41688);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 460, 58874);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 269, 63785);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 239, 137579);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 348, 126206);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 429, 52183);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 300, 136711);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 274, 45306);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 451, 143113);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 13, 51032);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 5, 80183);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 295, 126450);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 417, 126654);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 330, 11352);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 488, 112988);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 335, 52625);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 28, 139838);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 330, 81328);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 499, 75700);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 210, 129261);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 383, 117786);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 326, 93607);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 449, 90473);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 383, 72627);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 19, 7205);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 457, 113887);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 484, 139893);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 105, 107960);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 62, 18336);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 27, 83392);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 42, 20900);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 196, 120048);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 458, 99518);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 496, 148522);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 426, 139154);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 381, 52135);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 58, 92523);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 256, 147042);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 390, 51025);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 315, 81334);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 280, 23291);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 23, 106170);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 367, 93245);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 321, 45251);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 204, 119302);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 469, 25034);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 170, 74841);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 33, 148377);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 445, 126055);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 464, 28923);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 315, 77319);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 470, 104962);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 12, 46701);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 196, 44127);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 163, 53550);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 481, 86971);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 320, 145287);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 285, 114647);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 482, 99764);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 217, 112216);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 81, 51802);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 2, 133079);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 199, 86563);
