insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Абрикосов ', 'АА', 'Воронеж, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Директора', 'АД', 'Зинделфинген, ул. Безусловный, 2221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Директора', 'АД', 'Клэйпул, ул. Исступленный, 541');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Директора', 'АД', 'Накло-над-Нотеча, ул. Триумфальный, 4771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Директора', 'АД', 'Покола, ул. Круглый, 3851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Захолустий ', 'АЗ', 'Агуаскалинтес, ул. Неимоверный, 1341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Зеллий ', 'АЗ', 'Доманевка, ул. Исполинский, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Изотопов', 'АИ', 'Балхаш, ул. Мертвенно, 2461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Изотопов', 'АИ', 'Дубровно, ул. Чрезвычайный, 4841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Изотопов', 'АИ', 'Ковылкино, ул. Беспредельный, 1851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Карт', 'АК', 'Невьянск, ул. Бешеный, 321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Квашней', 'АК', 'Норт Манкато, ул. Бешеный, 321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Лож ', 'АЛ', 'Хоррамшахр, ул. Гробовой, 2441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Миль ', 'АМ', 'Лоусон-Хейгтс, ул. Чрезвычайный, 4841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Миль ', 'АМ', 'Саут-Вэлли, ул. Изуверский, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Нервов ', 'АН', 'Бладенсбург, ул. Всемерный, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Нюнь ', 'АН', 'Флорам-Парк, ул. Глубокий, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Песен', 'АП', 'Вэйн, ул. Великий, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Песен', 'АП', 'Липовец, ул. Маститый, 341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Печений ', 'АП', 'Авондал Естатес, ул. Пламенный, 2371');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Печений ', 'АП', 'Изварино, ул. Возмутительный, 2131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Простофиль', 'АП', 'Порту, ул. Ожесточенный, 1911');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Простофиль', 'АП', 'Рехобот, ул. Чрезвычайный, 4841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Рикш', 'АР', 'Наха, ул. Отборный, 3271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Рикш', 'АР', 'Нововятск, ул. Бесповоротный, 4511');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Рикш', 'АР', 'Франкфорт, ул. Олимпийский, 1071');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Сабель', 'АС', 'Айнажи, ул. Ослепительный, 1471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Сабель', 'АС', 'Шахтинск, ул. Остервенелый, 881');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Сабель', 'АС', 'Эрзурум, ул. Рекордный, 1051');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Сапёров ', 'АС', 'Тверия, ул. Отборный, 3271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Свеч ', 'АС', 'Авон, ул. Мощный, 1181');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Свеч ', 'АС', 'Рока, ул. Ошеломляющий, 3901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Слесаря', 'АС', 'Пакстон, ул. Безоговорочный, 4081');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Существительных', 'АС', 'Кацерес, ул. Смертельный, 3611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Таможнен ', 'АТ', 'Виктория, ул. Цепенящий, 2061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Таможнен ', 'АТ', 'Энергетик, ул. Безграничный, 21');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Тёть ', 'АТ', 'Тазовский, ул. Бесстыдный, 3591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Хорватов ', 'АХ', 'Михайловград, ул. Кардинальный, 3811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Хором', 'АХ', 'Джексонвилл, ул. Пронзительный, 4221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Цапель', 'АЦ', 'Росслевилл, ул. Фантастический, 1831');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Цапель', 'АЦ', 'Токио, ул. Высокий, 3751');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Цимбал', 'АЦ', 'Тарли, ул. Подлинный, 4621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Цыган ', 'АЦ', 'Кокоа-Бич, ул. Катастрофический, 4891');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Чукчей', 'АЧ', 'Афула, ул. Изуверский, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Чукчей', 'АЧ', 'Дэйтон, ул. Безмерный, 4161');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Чулок', 'АЧ', 'Морристаун, ул. Вопиющий, 4611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Шампиньон ', 'АШ', 'Лянтор, ул. Убийственный, 3971');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Шампиньон ', 'АШ', 'Норт-Вернон, ул. Впечатляющий, 3541');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Шорт ', 'АШ', 'Долгое, ул. Завзятый, 4761');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Шпрот', 'АШ', 'Каргаполье, ул. Непревзойденный, 3021');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Шпрот', 'АШ', 'Тимминс, ул. Непередаваемый, 4781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Штолен', 'АШ', 'Астраханка, ул. Нестерпимый, 431');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Штолен', 'АШ', 'Ирвингтон, ул. Безнадежный, 2071');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Эполет ', 'АЭ', 'Афьон, ул. Мировой, 4611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Эполет ', 'АЭ', 'Уржум, ул. Безукоризненный, 2121');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Эфиопов', 'АЭ', 'Задонск, ул. Широкомасштабный, 871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Эфиопов', 'АЭ', 'Пудуккоттаи, ул. Кричащий, 4541');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Абрикосов ', 'ВА', 'Хитачи, ул. Пьянящий, 4721');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Барж ', 'ВБ', 'Кадуй, ул. Панический, 891');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Башен ', 'ВБ', 'Деражня, ул. Неисчерпаемый, 4061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Бон', 'ВБ', 'Гейстаун, ул. Разительный, 21');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Брелок', 'ВБ', 'Арад, ул. Последний, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Бронхи', 'ВБ', 'Нью-Чикаго, ул. Крепкий, 1741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Брызг', 'ВБ', 'Оак Хилл, ул. Райский, 771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Брызг', 'ВБ', 'Ура-Тюбе, ул. Подлинный, 4621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Бубен', 'ВБ', 'Алачуа, ул. Богатырский, 3341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Бубен', 'ВБ', 'Бискамжа, ул. Глубокий, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Валенкок ', 'ВВ', 'Мак-Каскилл, ул. Головокружительный, 551');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Ватт', 'ВВ', 'Лас-Вегас, ул. Неутомимый, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Вафель ', 'ВВ', 'Авока, ул. Злостный, 2591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Гантелей ', 'ВГ', 'Калласте, ул. Открытый, 2481');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Дебатов  ', 'ВД', 'Маунт-Лебанон, ул. Мертвенный, 2511');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Дебатов  ', 'ВД', 'Тонтитаун, ул. Нешуточный, 2011');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Кулон', 'ВК', 'Зимогорье, ул. Открытый, 2481');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Миллимикрон ', 'ВМ', 'Хоместид-Айр-Форс-Бэйс, ул. Поразительный, 3061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Миль ', 'ВМ', 'Тереньга, ул. Молниеносный, 1811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Нюнь ', 'ВН', 'Ада, ул. Отчаянный, 4121');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Оладий', 'ВО', 'Герцелия, ул. Излишний, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Печений ', 'ВП', 'Ярмолинцы, ул. Несметный, 1331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Рельс  ', 'ВР', 'Усти-над-Лабем, ул. Буйный, 2141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Рельс  ', 'ВР', 'Чешант, ул. Истовый, 3111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Сабель', 'ВС', 'Гуниб, ул. Хороший, 1931');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Тёть ', 'ВТ', 'Кингстон-Спрингс, ул. Необычайный, 2691');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Тёть ', 'ВТ', 'Северодвинск, ул. Неумеренный, 3491');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Хором', 'ВХ', 'Горакхпур, ул. Неисходный, 1581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Цапель', 'ВЦ', 'Ейск, ул. Клятвенный, 3421');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Шаровар ', 'ВШ', 'Ист-Сиракус, ул. Бурный, 171');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Шестерён ', 'ВШ', 'Моздок, ул. Космический, 01');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Штолен', 'ВШ', 'Задонск, ул. Отчаянный, 4121');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Эфиопов', 'ВЭ', 'Арзамас, ул. Безраздельный, 2601');
insert into вуз (полное_название, аббревиатура, адрес) values ('Высшая школа Эфиопов', 'ВЭ', 'Майерс-Корнер, ул. Райский, 771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Абрикосов ', 'ИА', 'Октябрьск, ул. Запредельный, 3291');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Акров ', 'ИА', 'Слоуг, ул. Стальной, 4181');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Акров ', 'ИА', 'Хемингуэй, ул. Безоговорочный, 4081');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ампер ', 'ИА', 'Зыряновск, ул. Обильный, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ананасов ', 'ИА', 'Затишье, ул. Неудержимый, 1571');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Антресолей ', 'ИА', 'Большое Солдатское, ул. Крупный, 621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Антресолей ', 'ИА', 'Спарта, ул. Беззаветный, 2531');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Анчоусов ', 'ИА', 'Воскресенск, ул. Изуверский, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Анчоусов ', 'ИА', 'Гарден-Хоум, ул. Бессовестный, 4621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Анчоусов ', 'ИА', 'Первомайский, ул. Истовый, 3111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Аэросаней', 'ИА', 'Баган, ул. Широкомасштабный, 871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Барж ', 'ИБ', 'Апе, ул. Непримиримый, 1741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Барж ', 'ИБ', 'Фатеж, ул. Небывалый, 4461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Басен ', 'ИБ', 'Дотан, ул. Сущий, 4331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Басен ', 'ИБ', 'Кинстон, ул. Отменный, 3921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Басен ', 'ИБ', 'Колюбакино, ул. Законченный, 1511');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Башен ', 'ИБ', 'Туллахома, ул. Решительный, 2881');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Башен ', 'ИБ', 'Формоза, ул. Экстраординарный, 591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бланков', 'ИБ', 'Каммак-Виллидж, ул. Патологический, 1281');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бланков', 'ИБ', 'Кенилворт, ул. Безмятежный, 4211');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бланков', 'ИБ', 'Лак, ул. Сильный, 4951');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бот', 'ИБ', 'Омонск, ул. Леденящий, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Боярышень ', 'ИБ', 'Мапл-Ридж, ул. Необычайный, 2691');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Боярышень ', 'ИБ', 'Хайленд-Спрингс, ул. Беспросыпный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брелок', 'ИБ', 'Лондондерри, ул. Кардинальный, 3811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бронхи', 'ИБ', 'Новокузнецк, ул. Чрезвычайный, 4841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брызг', 'ИБ', 'Красный, ул. Безропотный, 2581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брызг', 'ИБ', 'Минт-Хилл, ул. Дремучий, 781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брызг', 'ИБ', 'Рулевилл, ул. Чудовищный, 3711');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брюк', 'ИБ', 'Роторуа, ул. Последний, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Брюк', 'ИБ', 'Фульда, ул. Немой, 3131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бубен', 'ИБ', 'Кельменцы, ул. Галопирующий, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бубен', 'ИБ', 'Мошейм, ул. Кромешный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бубен', 'ИБ', 'Саут-Солт-Лейк, ул. Безнадежный, 2071');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бурь', 'ИБ', 'Лениградская, ул. Закоренелый, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бурят', 'ИБ', 'Клэйхатчи, ул. Неодолимый, 361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бутс', 'ИБ', 'Лейпалингис, ул. Изумительный, 431');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Бутс', 'ИБ', 'Шарыпово, ул. Внушительный, 2021');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ватт', 'ИВ', 'Красноармейск, ул. Редкостный, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Вафель ', 'ИВ', 'Норфолк, ул. Беспроглядный, 3251');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Вафель ', 'ИВ', 'Усть-Донецкий, ул. Кристальный, 1471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ведомостей', 'ИВ', 'Алейск, ул. Необузданный, 2681');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ведомостей', 'ИВ', 'Даллес, ул. Неистощимый, 3911');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ведомостей', 'ИВ', 'Мершантвилл, ул. Бесшабашный, 1361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ведомостей', 'ИВ', 'Ниота, ул. Большой, 1531');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Ведомостей', 'ИВ', 'Померой, ул. Преступный, 1271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Верховьев ', 'ИВ', 'Абаза, ул. Наглядный, 1151');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Верховьев ', 'ИВ', 'Эспанола, ул. Неизбывный, 3741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Вольт ', 'ИВ', 'Де-Риддер, ул. Смертельный, 3611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Вольт ', 'ИВ', 'Спринг-Сити, ул. Завзятый, 4761');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Выжимок ', 'ИВ', 'Бельфор, ул. Бесповоротный, 4511');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Выжимок ', 'ИВ', 'Вижница, ул. Абсолютный, 1131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Выжимок ', 'ИВ', 'Сан-Сити, ул. Кристальный, 1471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Выселков', 'ИВ', 'Осадж, ул. Зверский, 1391');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Габаритов ', 'ИГ', 'Пуласки, ул. Всепоглощающий, 3581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Герц ', 'ИГ', 'Данвилл, ул. Абсолютный, 1131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гетр ', 'ИГ', 'Алис Спрингс, ул. Обложной, 1491');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гетр ', 'ИГ', 'Бристоль, ул. Несусветный, 4961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гетр ', 'ИГ', 'Фрыдек-Мистек, ул. Невозможный, 01');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гранаты', 'ИГ', 'Кахиас, ул. Безмерный, 4161');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гренок ', 'ИГ', 'Дубаи, ул. Немилосердный, 4591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гренок ', 'ИГ', 'Кременец, ул. Безусловный, 2221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Груш ', 'ИГ', 'Лиссабон, ул. Безудержный, 2651');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Груш ', 'ИГ', 'Сабуичи, ул. Всяческий, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Гусар', 'ИГ', 'Палмер, ул. Сверхъестественный, 951');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Дебатов  ', 'ИД', 'Явленка, ул. Гигантский, 4051');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Дядей', 'ИД', 'Петерборо, ул. Махровый, 1061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Дядей', 'ИД', 'Старица, ул. Безраздельный, 2601');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Дядей', 'ИД', 'Тэйлор, ул. Гибельный, 1581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Захолустий ', 'ИЗ', 'Рокпорт, ул. Неутомимый, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Захолустий ', 'ИЗ', 'Сольцы, ул. Жесточайший, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Захолустий ', 'ИЗ', 'Торндейл, ул. Несметный, 1331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Зеллий ', 'ИЗ', 'Дуббо-Дуббо, ул. Неумеренный, 3491');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Зеллий ', 'ИЗ', 'Кутно, ул. Жуткий, 3661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Изотопов', 'ИИ', 'Гаага, ул. Галопирующий, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Изотопов', 'ИИ', 'Колони, ул. Нарочитый, 2291');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Изотопов', 'ИИ', 'Милтон, ул. Неукоснительный, 2811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Изотопов', 'ИИ', 'Хид-оф-ти-Харбор, ул. Резкий, 3181');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Каникул', 'ИК', 'Мураши, ул. Изуверский, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Карт', 'ИК', 'Арысь, ул. Крайний, 41');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Карт', 'ИК', 'Дорохово, ул. Безотлагательный, 2571');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Карт', 'ИК', 'Форт-Томас, ул. Доскональный, 2691');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Квашней', 'ИК', 'Верхневолынское, ул. Нешуточный, 2011');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Квашней', 'ИК', 'Губаха, ул. Преклонный, 1241');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Квашней', 'ИК', 'Донской, ул. Головокружительный, 551');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Квашней', 'ИК', 'Дрогобыч, ул. Блестящий, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Координат', 'ИК', 'Саут-Роксана, ул. Необычайный, 2691');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Координат', 'ИК', 'Харвуд Хейгтс, ул. Безоговорочный, 4081');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Кулон', 'ИК', 'Шахрисабз, ул. Убийственный, 3971');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Лож ', 'ИЛ', 'Дубукуэ, ул. Первый, 1461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Миллимикрон ', 'ИМ', 'Вествуд, ул. Безоговорочный, 4081');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Миль ', 'ИМ', 'Селл, ул. Исключительный, 2901');
