insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (94, 'спонсор', 'winthrop@jo', '10726300656');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (120, 'спонсор', 'ogier@suzaan', '14330076941');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (438, 'столовая', 'eramana@tavio', '19910108421');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (159, 'столовая', 'rypan@sadio', '17339960226');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (361, 'столовая', 'tawfiq@crimson', '12677335640');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (15, 'спонсор', 'tannere@joanna', '16490722088');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (58, 'ректор', 'flair@sundee', '18638382505');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (253, 'спонсор', 'elysabeth@montgomery', '17454661860');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (397, 'ректор', 'salhtun@daryll', '14390064541');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (469, 'ректор', 'wapi@fawn', '15833590164');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (267, 'приёмная комиссия', 'bryan@andria', '16157223385');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (485, 'спонсор', 'nouel@byreleah', '18112492318');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (443, 'ректор', 'khayriyyah@sybil', '16283204870');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (141, 'столовая', 'bartleigh@yovela', '11737092655');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (420, 'приёмная комиссия', 'zakary@sutherland', '19609510406');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (396, 'спонсор', 'jordyn@phemius', '12018773103');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (170, 'ректор', 'milap@brettany', '14438137337');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (117, 'ректор', 'marline@lindsey', '19097828236');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (358, 'приёмная комиссия', 'lucienne@marlisa', '13649533943');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (248, 'миграционная служба', 'waverly@tresa', '11802799845');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (7, 'приёмная комиссия', 'falon@zahur', '13559471362');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (59, 'спонсор', 'madra@sabrina', '12915942863');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (37, 'приёмная комиссия', 'myrtle@tityus', '14803959872');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (325, 'спонсор', 'columbine@marwe', '11360315196');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (167, 'приёмная комиссия', 'legarre@hurst', '19038287133');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (112, 'спонсор', 'berit@zedekiah', '16211380005');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (437, 'ректор', 'carroll@devine', '12651306201');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (332, 'столовая', 'raynord@adhamh', '18535445330');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (299, 'ректор', 'monohan@talo', '18687439198');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (66, 'столовая', 'phyllis@leitis', '13980062914');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (469, 'миграционная служба', 'harvey@isabelle', '17425952892');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (351, 'спонсор', 'wasim@delmore', '19180246741');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (481, 'спонсор', 'gregorio@shelley', '15810599729');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (329, 'ректор', 'harrietta@sydney', '11572887024');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (224, 'столовая', 'cenehard@tyree', '14404653926');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (415, 'спонсор', 'maureen@menes', '16585090745');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (52, 'спонсор', 'israel@kelven', '15549931562');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (66, 'приёмная комиссия', 'trevon@edita', '10616719683');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (60, 'спонсор', 'rawls@benjiro', '17747976572');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (311, 'ректор', 'melody@husayn', '18290685879');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (452, 'спонсор', 'ann@chapalu', '13302975806');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (127, 'ректор', 'garnett@abrecan', '19395440208');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (297, 'спонсор', 'gechina@cheryn', '10346046824');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (471, 'приёмная комиссия', 'kermilda@lind', '14372623054');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (367, 'миграционная служба', 'eden@gormley', '17407546473');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (99, 'столовая', 'willimod@kalle', '17470376336');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (457, 'приёмная комиссия', 'joeanna@akecheta', '11657428858');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (289, 'приёмная комиссия', 'madre@kamron', '17431898658');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (288, 'приёмная комиссия', 'jaymie@egon', '18264128044');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (350, 'столовая', 'carr@kippar', '16243324268');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (356, 'столовая', 'erlina@estebe', '12531925312');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (59, 'столовая', 'kumi@yarima', '14729957496');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (121, 'столовая', 'diomedes@ganelon', '12598471852');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (358, 'приёмная комиссия', 'pearson@meagan', '18151665608');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (199, 'спонсор', 'zoheret@maerewine', '14572531392');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (430, 'приёмная комиссия', 'mieko@mac ghille-dhuibh', '17174368902');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (190, 'приёмная комиссия', 'tyne@giovanni', '14662793721');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (232, 'столовая', 'tyeis@marcello', '17233924244');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (413, 'приёмная комиссия', 'kutaiba@gechina', '11718736274');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (68, 'ректор', 'nevyn@adelisa', '18191329593');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (93, 'спонсор', 'keren@marelda', '15832174696');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (207, 'миграционная служба', 'tab@rona', '12915432420');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (37, 'столовая', 'marcelino@cadwallon', '13422814001');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (391, 'миграционная служба', 'linda@kassidy', '17913766405');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (431, 'ректор', 'dolorita@bohumil', '10273475664');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (140, 'столовая', 'merial@keli', '17037605927');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (424, 'спонсор', 'desiree@alida', '12042697306');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (64, 'столовая', 'redding@ade', '14568889251');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (68, 'миграционная служба', 'athaleyah@ashby', '17147272024');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (84, 'столовая', 'morgan@conshita', '11390654220');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (97, 'столовая', 'kevork@arnt', '11889488785');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (463, 'ректор', 'badal@marsali', '15466620258');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (260, 'приёмная комиссия', 'cassidy@robb', '19149024449');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (147, 'столовая', 'devaney@aminia', '19308380681');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (192, 'спонсор', 'geraldine@imad', '13744606682');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (4, 'спонсор', 'devnet@iniss', '14570408884');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (435, 'спонсор', 'franz@cullodena', '13103901304');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (240, 'спонсор', 'amiel@aethelthryth', '10245055230');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (158, 'столовая', 'molly@deon?', '16601024497');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (203, 'миграционная служба', 'zemil:~@tamouz', '12274513902');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (210, 'спонсор', 'nixon@shoushan', '10800373003');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (17, 'приёмная комиссия', 'sidra@gualterio', '10678171168');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (370, 'ректор', 'gais@alita', '17885010637');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (267, 'миграционная служба', 'darrah@egbert', '15716918118');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (432, 'столовая', 'aili@darrick', '17280899410');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (294, 'столовая', 'donatello@hanford', '18167224873');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (428, 'миграционная служба', 'tadao@panagiota', '14479232080');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (276, 'спонсор', 'carmen@achilles', '14724614020');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (382, 'ректор', 'garnet@manoela', '19403738371');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (99, 'приёмная комиссия', 'alister@aithne', '17947486163');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (84, 'спонсор', 'ferda@maryanna', '19495036211');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (206, 'ректор', 'jorryn@aekerman', '19318079181');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (254, 'миграционная служба', 'asher@salem', '19648102985');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (272, 'спонсор', 'ramadan@cahir', '13049053644');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (124, 'миграционная служба', 'marleen@kardeiz', '13931176927');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (261, 'ректор', 'yoki@faris', '19594342626');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (97, 'приёмная комиссия', 'dalena@carolann', '18855600225');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (99, 'столовая', 'jordy@adelisa', '19605320293');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (256, 'ректор', 'nyoko@james', '18108209939');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (135, 'ректор', 'peta@christiansen', '17763110818');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (495, 'ректор', 'kohlvin@rufford', '16884085313');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (1, 'столовая', 'marlayne@archaimbaud', '18751299305');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (5, 'ректор', 'felton@edda', '15082227891');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (202, 'миграционная служба', 'haven@cofahealh', '15128010496');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (473, 'ректор', 'joed@aviva', '11995771868');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (180, 'приёмная комиссия', 'robbie@awinita', '15311090242');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (318, 'столовая', 'kevay@devansha', '17118566694');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (180, 'приёмная комиссия', 'sugn@zihna', '13885080285');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (446, 'ректор', 'fitzwalter@reigne', '18209637997');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (40, 'ректор', 'thorne@holbrook', '11335095106');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (63, 'миграционная служба', 'poston@jaedyn', '16745557646');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (54, 'столовая', 'orvil@aethelfrith', '14753217505');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (108, 'приёмная комиссия', 'afaf@ahuda', '14818872921');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (410, 'миграционная служба', 'alphonsine@cephalus', '19471417376');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (271, 'ректор', 'arnelle@lorilynn', '15910367557');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (229, 'столовая', 'waquini@treddian', '16656370008');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (492, 'миграционная служба', 'mac ghille aindreis@alyson', '13807313390');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (359, 'спонсор', 'beale@merlin', '17142212389');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (436, 'ректор', 'manu@bourn', '10323404204');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (246, 'приёмная комиссия', 'twain@synn', '13944838384');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (115, 'столовая', 'mongwau@kendyl', '18994518771');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (21, 'столовая', 'gil@rabbani', '17544574648');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (476, 'миграционная служба', 'didrika@omar', '11204734959');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (343, 'ректор', 'ginessa@tzion', '19973132846');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (412, 'ректор', 'fanchon@annemarie', '15397339875');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (229, 'спонсор', 'ephram@marrok', '17606891596');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (333, 'столовая', 'searle@brianne', '13335408107');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (124, 'столовая', 'reginald@deanna', '13244403856');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (361, 'приёмная комиссия', 'rose@assan', '18516538900');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (349, 'спонсор', 'tracy@kivi', '16205403656');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (72, 'спонсор', 'sapphira@sepp', '16568520626');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (342, 'приёмная комиссия', 'janna@josilyn', '13786551731');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (129, 'миграционная служба', 'brianne@frascuelo', '11040219894');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (295, 'приёмная комиссия', 'eachthighearn@lycaon', '18182053054');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (344, 'ректор', 'madeleine@daisie', '17769338922');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (98, 'приёмная комиссия', 'hughette@ziva', '12942688151');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (238, 'ректор', 'sisay@valen', '18801534295');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (115, 'приёмная комиссия', 'kamilah@quentin', '11003522015');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (336, 'миграционная служба', 'honovi@parle', '11530715982');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (452, 'приёмная комиссия', 'avinoam@achir', '19338710249');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (46, 'ректор', 'davite@pearroc', '18736326329');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (142, 'миграционная служба', 'chrissy@scand', '11262698662');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (430, 'приёмная комиссия', 'warford@grimbold', '10949519339');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (111, 'спонсор', 'katriel@edward', '17433318574');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (306, 'ректор', 'zinsa@edlyn', '19057089738');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (423, 'столовая', 'bradbourne@chogan', '17647624747');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (351, 'спонсор', 'pauwau@magar', '14251720316');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (428, 'миграционная служба', 'kealy@omar', '12760892963');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (448, 'столовая', 'mitchel@caress', '15892807961');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (269, 'столовая', 'melynda@makkitotosimew', '15489320545');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (298, 'столовая', 'ashlyn@keldan', '19118263879');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (135, 'ректор', 'reeya@ganieda', '19745217923');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (46, 'миграционная служба', 'teddi@brighid', '11239951686');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (280, 'спонсор', 'tiffney@lisabet', '15548700248');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (99, 'ректор', 'tucker@noe', '14190777642');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (407, 'миграционная служба', 'arthur@seaver', '13792123335');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (372, 'миграционная служба', 'yas@carol', '14228117142');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (273, 'миграционная служба', 'bohort@aonghus', '16314125636');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (286, 'миграционная служба', 'qudamah@treacy', '16425642371');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (63, 'миграционная служба', 'gorsedd@katherine', '19261691477');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (66, 'спонсор', 'murdoc@foster', '11424482841');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (405, 'спонсор', 'lenee@matrika', '14754968902');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (295, 'миграционная служба', 'thearl@hagan', '13716893751');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (204, 'спонсор', 'ambrosi@kagen', '18875752758');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (99, 'приёмная комиссия', 'blaire@xanthe', '12184472272');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (26, 'спонсор', 'sikyahonaw@harriette', '15212890698');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (17, 'миграционная служба', 'maximilian@alcmaeon', '14522879604');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (317, 'ректор', 'escorant@orran', '18133973286');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (497, 'миграционная служба', 'joseph harlin@zelotes', '11901710763');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (209, 'миграционная служба', 'ozi@magdalene', '19911357095');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (60, 'приёмная комиссия', 'andria@clay', '10108549382');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (440, 'ректор', 'alyssa@cedra', '10391916803');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (299, 'столовая', 'cynara@jensen', '19418567105');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (155, 'спонсор', 'lange@biecaford', '17425259788');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (143, 'спонсор', 'vaden@zibiah', '10454708261');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (450, 'приёмная комиссия', 'lien@bodicea', '14397041497');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (344, 'ректор', 'clematis@macalister', '14829276178');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (10, 'приёмная комиссия', 'sawyere@ilithya', '17376320285');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (404, 'спонсор', 'hiolair@sabir', '11887517948');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (378, 'приёмная комиссия', 'niabi@dorothea', '16283664689');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (238, 'приёмная комиссия', 'panagiotis@raja', '10440838792');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (48, 'ректор', 'mapiya@dallen', '10606296064');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (108, 'миграционная служба', 'dzigbode@kedrick', '13045981379');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (417, 'столовая', 'rio@lia', '12295517796');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (344, 'столовая', 'grenville@juba', '10752600054');
